,FC,FC,FC,FC,FC,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR
Tissue,CSF,CTX,CTX,SPC,SPC,CSF,CTX,CTX,SPC,SPC,sum_significant
Fraction,CSF,insoluble,soluble,insoluble,soluble,CSF,insoluble,soluble,insoluble,soluble,
Leading_Gene,,,,,,,,,,,
EPM2AIP1,,-0.0493856201674135,-0.0602265976319283,-0.117857671086637,,,0.962199104838168,0.819331689254071,,,0
EPMIP,,,,,-0.00796069887499645,,,,,0.971463783287766,0
EPN1,,,-0.0427980397531614,,-0.0809429486080355,,,0.852611627433512,,0.831271728682543,0
EPN4,,,,,-0.0327923057559563,,,,,0.954063149360048,0
EPPK1,,,-0.418171402020887,,,,,0.391581088163394,,,0
EPRS1,,-0.0322866185768599,-0.0484365997581244,0.039939022685717,,,0.982482116232407,0.686488928016529,,,0
EPS15,,,0.40186280995422,,-0.158766388656016,,,0.431308475893852,,0.803410486756284,0
EPS15L1,,-0.106819702315219,0.0223278284233165,-0.377133535091043,,,0.726223045779288,0.936966254056613,,,0
ERAP1,-0.0158381815965178,,,,,0.9962090509916655,,,,,0
ERAP2,-0.0490740046781646,,,,,0.9962090509916655,,,,,0
ERBB3,-0.132105827331543,,,,,0.7675984230778834,,,,,0
ERBB4,-0.0828900770707559,,,,,0.9767077574634933,,,,,0
ERBIN,,,-0.0821243763342823,,0.132057860196844,,,0.744312072074091,,0.656479003636633,0
ERC1,,,0.138791402914441,,,,,0.615521858873449,,,0
ERC2,,,0.123046957168955,,0.0333051506679789,,,0.618353988790624,,0.971463783287766,0
ERF3A,,,,,-0.0407820630597391,,,,,0.934184578757256,0
ERF3B,,,,,-0.0102718899395063,,,,,0.971463783287766,0
ERG7,,,,,0.269228501097683,,,,,0.673656402767184,0
ERH,,,-0.0893509216424623,,-0.136840993103636,,,0.785093219726,,0.87594133257392,0
ERLIN1,,,-0.274530158413308,,,,,0.728915462651651,,,0
ERLIN2,,-0.0457201587912794,0.0295666572723241,0.0643286183150908,,,0.951861211219436,0.901523333432099,0.848904524278322,,0
ERLN1,,,,,0.359545801299905,,,,,0.435685840814168,0
ERLN2,,,,,0.177291925217337,,,,,0.488058233206666,0
ERMIN,,,,,-0.068086841081877,,,,,0.929530092904353,0
ERMN,,0.13676560474152,-0.149319183898769,0.329061459512413,,,0.890406590090763,0.738530833653745,0.121767900943282,,0
ERP44,-0.0282662228883321,,-0.0388691187091749,,-0.0782888551675122,0.9962090509916655,,0.955037147212673,,0.86974833417234,0
ESAM,-0.0381603170193188,,,,,0.9962090509916655,,,,,0
ESD,0.145942927614653,0.135251654443477,0.243162903746635,0.657909298511796,,0.9525340492753607,0.957253659246445,0.46660824003178,0.00701357929497252,,1
ESTD,,,,,0.215955875091532,,,,,0.255772281590012,0
ESYT1,,-0.33436960241867,-0.222766989681018,-0.198433187022256,-0.115378133097383,,0.316640165975451,0.300339511499474,0.692661170348737,0.583736647636888,0
ESYT2,,,-0.0174305507756483,,-0.246533864225418,,,0.966263864172868,,0.444306521696361,0
ETFA,,,0.192640219955475,,0.0127744489759607,,,0.643666399684907,,0.971463783287766,0
ETFB,,,-0.0245513228472893,,0.0634409461887216,,,0.963726775720255,,0.929360566456921,0
ETFD,,,,,0.15609333558252,,,,,0.859894258906927,0
ETFDH,,,0.00310908135275278,,,,,0.995546611734369,,,0
EVI5L,,,0.134127877557503,,0.243244582183882,,,0.626872783915871,,0.57732203466967,0
EXC6B,,,,,0.0803141543616524,,,,,0.812069198826305,0
EXD2,,,-0.277750529113058,,-0.0575677333138082,,,0.58981519748312,,0.931171757675167,0
EXOC1,,,-0.146240407777038,,0.0308840488114736,,,0.452306163816572,,0.920659617139149,0
EXOC2,,,-0.128529689422248,,0.110481995427625,,,0.485148693499727,,0.557361787105888,0
EXOC3,,,-0.0840804933156568,,0.155445471823174,,,0.643666399684907,,0.57732203466967,0
EXOC4,,-0.221025343238825,-0.125966262432809,-0.293739278917359,-0.0411047239646689,,0.747520314725791,0.547456815692458,0.469942339844602,0.867590411347488,0
EXOC5,,,-0.199830931375027,,-0.1798708438163,,,0.496744895445935,,0.692153399164166,0
EXOC6,,,0.121333153569928,,0.090696937891916,,,0.772401791968742,,0.946117362299694,0
EXOC6B,,,-0.0670745651098963,,,,,0.66768833493721,,,0
EXOC7,,-0.295981471130794,-0.116816286273639,0.0158679273986131,0.114496598484737,,0.662063382415778,0.615521858873449,,0.753892631515189,0
EXOC8,,,-0.151384146708505,,0.0838577664776368,,,0.456338577642793,,0.79905074999141,0
EXT1,-0.0266701816849011,,,,,0.9962090509916655,,,,,0
EXT2,0.0102654083159184,,,,,0.9962090509916655,,,,,0
EXTL2,0.0480687029950033,,,,,0.9962090509916655,,,,,0
EZR,,-0.0669948761892272,0.157993782857902,-0.121333359320636,,,0.99354092916983,0.647862155509733,0.733978131638887,,0
EZRI,,,,,-0.158602663597902,,,,,0.416866391198363,0
F10,0.123936108180455,,,,,0.9868396470549559,,,,,0
F102A,,,,,-0.00517655259084182,,,,,0.997472729970493,0
F10A1,,,,,0.404102360837432,,,,,0.455062325658473,0
F11,-0.1203080577178,,,,,0.9962090509916655,,,,,0
F1142,,,,,0.0464232008688896,,,,,0.937118502944803,0
F12,-0.151361141664864,,,,,0.9962090509916655,,,,,0
F126B,,,,,-0.292397199857085,,,,,0.515015045983955,0
F131B,,,,,0.161572559762657,,,,,0.735233540999073,0
F13A1,0.0661075216940912,,,,,0.9962090509916655,,,,,0
F13B,-0.100894742197802,,,,,0.9962090509916655,,,,,0
F162A,,,,,-0.5467999406808,,,,,0.685573969315978,0
F16B1,,,,,0.155143530520017,,,,,0.587725106073838,0
F1711,,,,,0.0551233531036002,,,,,0.881836194079284,0
F1712,,,,,0.220307386268407,,,,,0.946117362299694,0
F171B,,,,,0.00902828708212899,,,,,0.98528280431518,0
F2,0.0961428626348884,,,,,0.9962090509916655,,,,,0
F262,,,,,-0.036684224751577,,,,,0.888142588466677,0
F3,,,0.571489662341442,,,,,0.252306262942617,,,0
F5,0.131964071341038,,,,,0.9962090509916655,,,,,0
F7,-0.0366790379460156,,,,,0.9962090509916655,,,,,0
F8A1,,,-0.0748430097136923,,,,,0.787671309300867,,,0
F9,0.125000928903557,,,,,0.9962090509916655,,,,,0
F91A1,,,,,0.0894848662104901,,,,,0.931171757675167,0
FA49A,,,,,-0.161022983301763,,,,,0.124702330109745,0
FA49B,,,,,0.0986954773700056,,,,,0.873857000426986,0
FA81A,,,,,0.130588343484341,,,,,0.904072757342731,0
FA98A,,,,,-0.0152520578237352,,,,,,0
FA98B,,,,,-0.193971569861524,,,,,0.594985456964174,0
FABP3,-0.180387386364485,,,,,0.8045133597427804,,,,,0
FABP5,0.110880380327051,,-0.0299685256709518,,0.0508175677810949,0.9962090509916655,,0.955148543638486,,0.932442042627939,0
FABP7,-0.0262239833566582,,-0.0903419064061193,,-0.032319612017274,0.9962090509916655,,0.86560173640637,,0.946117362299694,0
FAF1,,,-0.213031565314407,,-0.877189548617122,,,0.498652083631196,,0.660809529303005,0
FAF2,,0.24513655874674,-0.0210602204796259,-1.04483274357579,0.25859876709678,,0.265950155397415,0.920271070294747,0.165167987183511,0.671738063316832,0
FAH,0.116541681130432,,,,,0.9808135127208556,,,,,0
FAH2A,,,,,-0.178259205273004,,,,,0.827030556510304,0
FAHD2A,,-0.106816241879241,-0.0558128747518695,0.0441806993431568,,,0.890406590090763,0.91125824728019,0.905295385206845,,0
FAIM2,0.0309127876252848,,,,,0.9962090509916655,,,,,0
FAK1,,,,,0.58269157832196,,,,,0.296312432578667,0
FAK2,,,,,-0.281524477615453,,,,,0.656479003636633,0
FAKD4,,,,,0.194373450494717,,,,,0.719757167976705,0
FAM102A,,,0.312533574453338,,,,,0.345260263524672,,,0
FAM114A2,,,-0.236058979555103,,,,,0.368110190183959,,,0
FAM126A,,,0.382358280935251,,,,,0.600516360919167,,,0
FAM126B,,,0.0155019973740134,,,,,0.966263864172868,,,0
FAM131B,,,0.0542531399739534,,,,,0.692995919857672,,,0
FAM160B1,,,-0.175098540619952,,,,,0.314042719317191,,,0
FAM162A,,,0.422526807362584,,,,,0.402111248414839,,,0
FAM171A1,-0.0365291809549131,0.455361715669488,0.0628867422578895,-0.724861473517596,,0.9962090509916655,0.265950155397415,0.896205292124144,0.379759694580023,,0
FAM171A2,,,0.208242736996304,,,,,0.425097778277682,,,0
FAM171B,,,-0.144030704372385,,,,,0.613584257818892,,,0
FAM20B,0.01206937161359,,,,,0.9962090509916655,,,,,0
FAM20C,0.0438420785822533,,,,,0.9962090509916655,,,,,0
FAM234A,0.11489515468992,,,,,0.9767077574634933,,,,,0
FAM234B,-0.2164633486006,,,,,0.8859368122864999,,,,,0
FAM3A,0.0552872412439935,,,,,0.9962090509916655,,,,,0
FAM3C,0.0914778930579132,,,,,0.9962090509916655,,,,,0
FAM49A,,-0.102605709672876,-0.272310143226578,0.0547959717504195,,,0.846444048001371,0.125939555392208,0.849367032184761,,0
FAM49B,,,0.0791980012691357,,,,,0.900692606241268,,,0
FAM81A,,,-0.137270469613002,,,,,0.621431588510526,,,0
FAM91A1,,,0.392246213917282,,,,,0.379089761572976,,,0
FAM98A,,-0.264224550925414,-0.254429554561357,0.046268781020821,,,0.521489685725897,0.611943557038539,0.790720403152313,,0
FAM98B,,,-0.385332089427909,,,,,0.199204396375731,,,0
FARP1,,0.0135113361054844,-0.00855102792147416,-0.122713593881341,-0.023665408109235,,0.99354092916983,0.976773745206923,0.854380631403442,0.933965774772132,0
FARSA,,-0.0733905845699367,-0.131017526890473,-0.40070588172413,,,0.890406590090763,0.496800232691255,0.322264246550831,,0
FARSB,,-0.191072774932016,-0.236594916270779,-0.342925422851189,,,0.676019283688509,0.247264812190876,0.430799357492699,,0
FAS,,,,,-0.213547815853294,,,,,0.11751709472002,0
FASN,,-0.490086244669516,-0.327291584180624,-0.0723637027143763,,,0.327767364335989,0.215588047937554,0.804513353932086,,0
FAT1,0.0555477052023914,,,,,0.9962090509916655,,,,,0
FAT2,0.040893430833691,,,,,0.9962090509916655,,,,,0
FBL,,0.0963934707055257,0.07985878252676,0.0880544297777273,,,0.802656131262148,0.735373841965106,0.804513353932086,,0
FBLL1,,,0.00943994034848805,,-0.571886795589466,,,0.96762771856146,,,0
FBLN1,0.0279416471775029,,-0.075821250459864,,0.334732810608231,0.9962090509916655,,0.96335438542648,,0.628641127621091,0
FBLN2,0.167154989791047,,,,,0.7288731909639832,,,,,0
FBLN5,0.0555498692896457,,,,,0.9962090509916655,,,,,0
FBLN7,0.0778345451284217,,,,,0.9962090509916655,,,,,0
FBN1,0.0375709454071078,-0.220220800176769,-0.00337974469898017,-0.0878924962656316,0.188668095461902,0.9962090509916655,0.771595129168042,0.996848985019306,0.866444492959628,0.705174681121398,0
FBRL,,,,,0.313068518309452,,,,,0.0137023965628778,1
FBX2,,,,,-0.0196628861217389,,,,,0.921441539418527,0
FBX41,,,,,-0.140960705115752,,,,,0.881279786211587,0
FBX44,,,,,-0.0233618225577397,,,,,0.921441539418527,0
FBXL15,,,-0.144797572567876,,,,,0.777183846041102,,,0
FBXO2,,-0.29123798726177,-0.256789368825239,0.106154375703285,,,0.278871582498653,0.125939555392208,0.569068669948349,,0
FBXO41,,0.451074385511582,0.100539906742587,,,,0.265950155397415,0.807208678339561,,,0
FBXO44,,,-0.0215276240675076,,,,,0.957975563622663,,,0
FCGBP,0.161792351717409,,,,,0.9962090509916655,,,,,0
FCGR2A,-0.02221444050471,,,,,0.9962090509916655,,,,,0
FCGR3A,0.0755555253745435,,,,,0.9962090509916655,,,,,0
FCL,,,,,-0.0897061995806946,,,,,0.867590411347488,0
FCN3,0.104863737716155,,,,,0.9962090509916655,,,,,0
FCSK,,,0.202752724892625,,-0.0455183733164356,,,0.735373841965106,,0.929903841948369,0
FDPS,,,0.0976574959928869,,,,,0.750005490374311,,,0
FDXR,,,-0.180487466198026,,,,,0.58173734603692,,,0
FECH,,,-0.00507951550346099,,,,,0.984853361307023,,,0
FER,,,0.277332881163411,,0.293769207204742,,,0.772401791968742,,0.244382983889158,0
FERM2,,,,,-0.295213580431692,,,,,0.1822715082167,0
FERMT2,,,-0.269331303542691,,,,,0.532043487620776,,,0
FETUB,0.0512125213424888,,,,,0.9962090509916655,,,,,0
FGA,-0.0120255854222684,-0.652310026896211,-0.00369857812998995,-0.131657948404054,,0.9962090509916655,0.327767364335989,0.993858910769162,0.834608492715694,,0
FGB,-0.0718306061951708,-0.405143513416172,0.114338139761164,-0.01886933856562,,0.9962090509916655,0.678474848711701,0.814872107432219,0.974228181272611,,0
FGD4,,,0.155871166467598,,0.0188948449994042,,,0.462286633953046,,0.961823981840594,0
FGF1,,,0.608302380342813,,0.188407836096668,,,0.547456815692458,,0.627712922080455,0
FGFBP2,0.267368334815615,,,,,0.8859368122864999,,,,,0
FGFR1,0.0351656239638736,,,,,0.9962090509916655,,,,,0
FGFR1OP2,,,-0.131752625332313,,,,,0.749870218847147,,,0
FGFR2,0.0446266579495287,,,,,0.9962090509916655,,,,,0
FGFR3,0.0392267389952146,,,,,0.9962090509916655,,,,,0
FGG,-0.115039151320875,-0.140430669451356,-0.160000310725194,-0.0166888096383377,,0.9962090509916655,0.914568672746504,0.625783084784102,0.975161960680329,,0
FGL2,-0.122929513454437,,,,,0.9962090509916655,,,,,0
FGOP2,,,,,0.383329647026405,,,,,0.628641127621091,0
FH,,0.314404843296451,0.0868153869404391,0.424786451734534,,,0.485378947253669,0.670186039162544,0.223551851143047,,0
FHL1,-0.0234933437261375,0.179407270519008,-0.0736025405889534,0.0582815258169131,-0.135538705277973,0.9962090509916655,0.839851296955595,0.836142394929127,0.849301269476289,0.660809529303005,0
FIBA,,,,,0.41647636710311,,,,,0.357948649142824,0
FIBB,,,,,0.773975884706034,,,,,0.167547499789921,0
FIBG,,,,,0.306614947726253,,,,,0.399769443061695,0
FIBP,,,0.0911392400587233,,0.126147695825608,,,0.824437071384856,,0.884775158617382,0
FIG4,,,0.0337914153810831,,-0.150355315301145,,,0.965723804045106,,0.856910623010097,0
FINC,,,,,-0.364104212643565,,,,,0.731760421986139,0
FIS1,,0.153165626603013,0.316733980248471,-0.0892207351568514,0.247235652718966,,0.771927847606923,0.345260263524672,0.798568097182112,0.538396064724849,0
FKB15,,,,,-0.114201603025905,,,,,0.88109947825919,0
FKB1A,,,,,0.106666213560265,,,,,0.894342416813236,0
FKBP15,,,0.167103448291037,,,,,0.491892790508394,,,0
FKBP1A,,,0.145327574360021,,,,,0.618908366773207,,,0
FKBP2,0.169889530213942,,0.0313089906872464,,-0.236921961132727,0.9335328904244985,,0.96762771856146,,0.514805183152029,0
FKBP3,,,0.106000350914644,,-0.0702968518847074,,,0.809517785952892,,0.929856576552513,0
FKBP4,0.130274408513849,-0.388493171503729,-0.358706640062001,-0.237322722006193,-0.0701482027913193,0.9962090509916655,0.707360475513707,0.273604354814231,0.574521065757378,0.894342416813236,0
FKBP5,,,-0.523384205716614,,-0.54641657532495,,,0.497799769057807,,0.336234679661912,0
FKBP8,,0.0239714499718127,0.034381471383507,-0.0714766320795466,0.142348563650157,,0.984201089762907,0.965723804045106,0.866748766390718,0.824214542661523,0
FKRP,0.453780466289611,,,,,0.3095684368347656,,,,,0
FLII,,-0.0550698155146445,-0.266439628230945,-0.403034691578514,-0.244879131778328,,0.890406590090763,0.309831889735006,0.326696247327121,0.372306353926425,0
FLNA,0.0841799431106676,-0.0518253306987355,-0.2176608797318,0.5010841644316,0.110244673252836,0.9962090509916655,0.982482116232407,0.452306163816572,0.00926844226896,0.633178720659362,1
FLNB,,,-0.192858527676198,,0.199680139800984,,,0.825017061812957,,0.538365680600827,0
FLNC,,-0.176636840301287,-0.0358635103790799,0.371277868233036,0.173768167903,,0.900213310971527,0.911883179690006,0.138153221329556,0.1822715082167,0
FLOT1,,-0.0884897318345905,-0.138868568747016,0.0840991029643653,0.0282216350797494,,0.857580939949136,0.546387463718318,0.735806835045211,0.883280861495648,0
FLOT2,,-0.199928542986087,-0.0762068959451873,0.313453606543394,-0.0414522301100036,,0.830806153565755,0.718602465590491,0.369610494610627,0.88531799535722,0
FLRT1,-0.0279294514074557,,,,,0.9962090509916655,,,,,0
FLRT2,-0.0993557131678831,,,,,0.9595208764726064,,,,,0
FLRT3,0.143907441033257,,,,,0.8202840789811244,,,,,0
FMN2,,,0.153222455425772,,0.308510230433912,,,0.678380055755549,,0.590538440857991,0
FMNL2,,0.177845314207975,-0.0358405994233579,0.300172208539468,0.0135243615845959,,0.778963812451816,0.938578898147974,0.0175569864099829,0.931171757675167,1
FMOD,0.0723435856636918,,-0.495070602704522,,0.523477324915559,0.9962090509916655,,0.795688757500351,,0.596754056664038,0
FN1,0.0209814153044903,-0.430752407999416,0.420381428071733,0.373804486416982,,0.9962090509916655,0.61694573314993,0.507358161492412,0.514948487166686,,0
FN3K,,0.0952331037965705,-0.0913419688729885,0.214328346274756,0.00114285496279454,,0.880452023886478,0.768069639190535,0.649449921665952,0.994895986983333,0
FN3KRP,,,0.0713674136765376,,,,,0.890537008905292,,,0
FNTA,,,0.216653004701494,,-0.119669690431525,,,0.732456065611113,,0.825664939996063,0
FNTB,,,-0.180257540171767,,0.0718180184471487,,,0.80909397859545,,0.900156572690594,0
FOLR1,0.108759260177614,,,,,0.9962090509916655,,,,,0
FOLR2,0.0356098415679078,,,,,0.9962090509916655,,,,,0
FPPS,,,,,-0.180495054689633,,,,,0.795213368258598,0
FREM2,0.0718808628724492,,,,,0.9962090509916655,,,,,0
FRIH,,,,,-0.105494523406289,,,,,0.538396064724849,0
FRIL,,,,,0.201901515561246,,,,,0.487919850583707,0
FRM4A,,,,,0.394773140833093,,,,,0.408652628100218,0
FRMD4A,,,0.12390919685784,,,,,0.754958341386763,,,0
FRMD5,,,0.0219766830636008,,0.0608559942264171,,,0.965723804045106,,0.863677152730664,0
FRMPD1,-0.0192009449005113,,,,,0.9962090509916655,,,,,0
FRRS1L,0.0409841449008574,,,,,0.9962090509916655,,,,,0
FRY,,,0.440078131663051,,-0.164892849115702,,,0.331677553432816,,0.849295323468906,0
FRYL,,,-0.144288752519123,,0.201976314287874,,,0.813086450882612,,0.626402357637466,0
FRZB,0.0251393238555941,,,,,0.9962090509916655,,,,,0
FSCN1,0.23361840893917,0.139544586950685,-0.130225375540546,0.245735362345413,0.00874715766994782,0.31282531772489747,0.839189922868777,0.586329934558445,0.292258377868242,0.976469928998587,0
FSD1,,-0.36054515619613,-0.331263221767049,-0.110591458945264,-0.178165741726274,,0.572060292502536,0.531034983766839,0.854380631403442,0.50240060827119,0
FSD1L,,-0.551027410203162,-0.256795226911619,0.0153392759877944,-0.236589925068539,,0.316640165975451,0.523240785047311,0.960815842223494,0.228967367489194,0
FSTL1,0.0521285918736503,,,,,0.9962090509916655,,,,,0
FSTL3,-0.0222074220264545,,,,,0.9962090509916655,,,,,0
FSTL4,0.0233977252344495,,,,,0.9962090509916655,,,,,0
FSTL5,-0.0064068804866508,,,,,0.9962090509916655,,,,,0
FTH1,0.0901995845357941,0.38748456394468,-0.0557655092743101,0.488428060143178,,0.9962090509916655,0.521489685725897,0.890537008905292,0.360000544842776,,0
FTL,0.0256667270455306,0.330615209866049,0.0602387093152412,0.150698868703571,,0.9962090509916655,0.459810607293932,0.893483493507792,0.529670246596971,,0
FUBP2,,,,,0.817100728519323,,,,,0.300648810535863,0
FUBP3,,-0.0198884553361286,0.122865892716061,-0.0117108038213944,0.0908837552711085,,0.982482116232407,0.646187136052855,0.974228181272611,0.668188926195574,0
FUCA1,0.120368818626334,,,,,0.9962090509916655,,,,,0
FUCA2,0.170340645954649,,,,,0.9962090509916655,,,,,0
FUMH,,,,,-0.146749582650327,,,,,0.455062325658473,0
FUT11,-0.0532888853041271,,,,,0.9962090509916655,,,,,0
FUT8,0.155217728345498,,,,,0.8458277610997738,,,,,0
FXL15,,,,,0.0923751259314548,,,,,0.720629428650554,0
FXR1,,-0.0295798937247826,-0.36835889528128,-0.588910104353445,0.178573991550243,,0.968074448465228,0.360462091331239,0.322264246550831,0.705174681121398,0
FXR2,,,0.0648867385310768,,0.00831996410880187,,,0.913903301756156,,0.98528280431518,0
FYN,,-0.0794071210776931,-0.0371422833921468,0.221668469685262,0.171814362632932,,0.839189922868777,0.738318967972883,0.62669943749511,0.11751709472002,0
FZD8,0.018729182176811,,,,,0.9962090509916655,,,,,0
G3BP1,,,0.033333286981038,,0.051558299545697,,,0.890537008905292,,0.850508971115488,0
G3BP2,,-0.17443928078724,0.0995917863098402,-1.05019249252165,-0.0835181117174492,,0.662063382415778,0.348846764931563,,0.761739475770373,0
G3P,,,,,0.0860468545727038,,,,,0.590308530840613,0
G6PD,,0.0043450461089618,-0.117297527157796,0.568594112091199,-0.0339285449595987,,0.998699207742396,0.532043487620776,0.039642049731795,0.929903841948369,1
G6PE,,,,,-0.430200487409563,,,,,0.523406876340571,0
G6PI,,,,,-0.24420561694084,,,,,0.203912256375389,0
GAA,0.0850237278416337,,,,,0.9962090509916655,,,,,0
GABARAPL1,,,-0.0981559756805933,,,,,0.833715083444141,,,0
GABARAPL2,0.0157472122283213,,0.276634818577738,,,0.9962090509916655,,0.347213559656183,,,0
GABBR1,,,0.188505644926478,,,,,0.497799769057807,,,0
GABBR2,,,0.0170631526425982,,,,,0.966263864172868,,,0
GABR1,,,,,-0.311732245254811,,,,,0.673656402767184,0
GABR2,,,,,-0.542687195141451,,,,,,0
GABRA1,,-0.0963474939032577,,,,,0.852895583435375,,,,0
GABRB1,,,0.0299939994157274,,,,,0.90429615788713,,,0
GABRB2,,0.0866513952691765,,,,,0.903693802058521,,,,0
GABRG2,,,-0.101885905506211,,,,,0.849839990388426,,,0
GABT,,,,,0.0947022545970553,,,,,0.673656402767184,0
GAD1,,,-0.230076583248938,,,,,0.697616836764022,,,0
GAD2,,-0.484504874378178,-0.130362344862372,,,,0.374415076908856,0.704718540659364,,,0
GAK,,-0.0243916685066806,0.0570182395607371,-0.750273750694522,0.0318117706094102,,0.982834224779866,0.657499159750385,0.32065489963306,0.931171757675167,0
GAL3A,,,,,-0.254934946512207,,,,,0.625001650941089,0
GALC,-0.153095565058969,,,,,0.9962090509916655,,,,,0
GALD1,,,,,0.220876659796422,,,,,0.718386260914832,0
GALE,,,-0.248996464208225,,0.289705403642248,,,0.652381685355022,,0.615140491972782,0
GALK1,,-0.141525251292024,-0.117059172516326,-0.304466293201983,-0.105499271033988,,0.736808399593071,0.59262671580953,0.124341556710249,0.458331703520354,0
GALNS,-0.198067600519185,,,,,0.6418340479087274,,,,,0
GALNT1,0.0041183584917448,,,,,0.9962090509916655,,,,,0
GALNT10,0.0152757437640521,,,,,0.9962090509916655,,,,,0
GALNT11,-0.15233455300331,,,,,0.9962090509916655,,,,,0
GALNT13,0.070784867215318,,,,,0.9962090509916655,,,,,0
GALNT15,0.387038724541886,,,,,0.06291724715853661,,,,,0
GALNT16,-0.0351768575533473,,,,,0.9962090509916655,,,,,0
GALNT17,0.0596484099926595,,,,,0.9962090509916655,,,,,0
GALNT18,-0.0121885018357553,,,,,0.9962090509916655,,,,,0
GALNT2,0.0066291724153728,,,,,0.9962090509916655,,,,,0
GALNT6,0.0782301023408962,,,,,0.9962090509916655,,,,,0
GALNT7,0.0387276585778853,,,,,0.9962090509916655,,,,,0
GAN,,,-0.345986118172856,,-0.0289621604788003,,,0.425967897692819,,0.958839224382489,0
GANAB,0.158821863234596,-0.223968411719278,-0.440290498121571,0.429160615854245,-0.185923334909334,0.3335397944942874,0.839494231843182,0.243616308887874,0.111181169016376,0.558840075609744,0
GAP43,-0.0944181311329562,,0.0415346921752638,,,0.9962090509916655,,0.88469314612471,,,0
GAPD1,,,,,-0.042742262086777,,,,,0.823773668658492,0
GAPDH,0.485012822336962,0.275808606996093,0.0893415289115742,0.26914789544896,,0.2956853522473422,0.434348327535208,0.697797313260435,0.0133188180854726,,1
GAPR1,,,,,0.173749929750962,,,,,0.631883745565484,0
GAPVD1,,0.178431063348678,-0.0587499238305413,-0.0234383990680367,,,0.565365089979021,0.738530833653745,0.975161960680329,,0
GARS,,,,,-0.278152107409732,,,,,0.169652501193834,0
GARS1,,-0.0344940807622812,-0.363616662387457,0.274615720891434,,,0.982834224779866,0.0796778441408507,0.367416821550883,,0
GART,,-0.167950407765066,-0.170971914081029,-0.380468774568822,,,0.603092817669928,0.418159155454746,0.262489872555772,,0
GAS6,0.0780983059658418,,,,,0.9769057736333514,,,,,0
GAS7,,,-0.185839999601148,,0.404006221910071,,,0.546387463718318,,0.556044225687243,0
GASK1A,0.0864675111363677,,,,,0.9962090509916655,,,,,0
GASK1B,0.0521959232266624,,,,,0.9962090509916655,,,,,0
GATD1,,-0.199874122361121,0.296139717789122,-0.256576800589265,,,0.900037904528893,0.622285263341324,0.46595953240507,,0
GATD3A,,-0.102590631351684,-0.113791102410672,-0.14887831168101,,,0.88131223656302,0.62654916198696,0.827708878911512,,0
GBA1,0.0562334566405323,,,,,0.9962090509916655,,,,,0
GBB1,,,,,0.0970184139061026,,,,,0.424793783934032,0
GBB2,,,,,-0.00688454035997976,,,,,0.965550256785996,0
GBB4,,,,,0.151746039856384,,,,,0.662959548825917,0
GBE1,,-0.0534190431912103,-0.229076019502004,-0.964117922853474,,,0.982834224779866,0.503186486896637,0.120855304268092,,0
GBF1,,,0.197489527103189,,0.238610188207667,,,0.309831889735006,,0.264266707620211,0
GBG12,,,,,0.417985914164439,,,,,0.15275948722721,0
GBG2,,,,,0.0714438236410346,,,,,0.921441539418527,0
GBG3,,,,,-0.434024938608914,,,,,,0
GBG7,,,,,0.11158852140388,,,,,0.848523716927121,0
GBRB1,,,,,-0.499838632136219,,,,,0.371957833335776,0
GBRG2,,,,,0.0197104919745962,,,,,0.98528280431518,0
GBRL1,,,,,0.304857005922169,,,,,0.682430398413084,0
GBRL2,,,,,-0.517174462833125,,,,,0.656479003636633,0
GC,-0.0181667667594176,,0.160043891781546,,,0.9962090509916655,,0.766404343170809,,,0
GCAT,,,-0.0640766555120329,,,,,0.916568278974952,,,0
GCC2,,,-0.194047626870218,,-0.323013299932015,,,0.331677553432816,,0.0647557387571583,0
GCDH,,0.00262486621948499,-0.133694566611756,-0.777326556593057,0.313673695813401,,0.998699207742396,0.764372606902558,0.141324918293615,0.591596035041458,0
GCLC,,,-0.39191950636271,,,,,0.324588606441354,,,0
GCLM,,0.0499134792764076,-0.104912570588773,-0.321106269361973,,,0.950273546850421,0.697616836764022,0.457080612345982,,0
GCN1,,,0.145916888950293,,0.276748225851098,,,0.735373841965106,,0.175282747469517,0
GCP2,,,,,0.199842689664615,,,,,0.658391049612056,0
GCP60,,,,,0.162331989258353,,,,,0.763954392814365,0
GCYA2,,,,,-0.288374040367907,,,,,0.594766198177014,0
GCYB1,,,,,0.094029932181283,,,,,0.777292530367292,0
GD1L1,,,,,-0.222638532361831,,,,,0.372306353926425,0
GDA,-0.135794562621108,,0.237740792449131,,,0.9808135127208556,,0.345260263524672,,,0
GDAP1,,-0.00189899496460452,-0.0161217916062222,-0.137490036109598,-0.122820871588606,,0.998699207742396,0.920149311461865,0.630009702522171,0.349322249511865,0
GDAP1L1,,,-0.252629784180724,,,,,0.368110190183959,,,0
GDE,,,,,0.0175668931662408,,,,,0.958839224382489,0
GDF11,0.02190096170429,,,,,0.9962090509916655,,,,,0
GDF15,0.547202096666608,,,,,0.6418340479087274,,,,,0
GDI1,-0.0941411533249532,0.126251372206214,0.115329958824029,0.484391124700947,,0.9595208764726064,0.803928607286426,0.652789317267194,0.0410708102392964,,1
