,FC,FC,FC,FC,FC,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR
Tissue,CSF,CTX,CTX,SPC,SPC,CSF,CTX,CTX,SPC,SPC,sum_significant
Fraction,CSF,insoluble,soluble,insoluble,soluble,CSF,insoluble,soluble,insoluble,soluble,
Leading_Gene,,,,,,,,,,,
ABR,,0.0401701649373354,0.0267321376710254,-0.125703741639012,0.240475273592837,,0.940059011527766,0.92299020852116,0.727275179660839,0.0211993871812398,1
ACAA1,,,0.0550520897770448,,,,,0.951976352046858,,,0
ACAA2,,0.12408252165888,-0.188072679079744,-0.0740405470063515,,,0.900213310971527,0.546387463718318,0.87304432397385,,0
ACACA,,-0.186206153207472,-0.0321247229632895,-0.162756779565507,-0.124425604757702,,0.747520314725791,0.874651784450798,0.569197478172481,0.554005389277978,0
ACAD9,,,0.174042355388738,,0.123988065814037,,,0.752431436374236,,0.777292530367292,0
ACADM,,,-0.00164982867853425,,-0.0276205858176414,,,0.996848985019306,,0.954126964171983,0
ACADS,,0.296143931924789,-0.0144114641264126,-0.746149730507134,-0.0160929361128026,,,0.981039078194822,0.0547962747479981,0.971463783287766,0
ACADSB,,,-0.0891013407468256,,,,,0.807982867111092,,,0
ACADV,,,,,0.109570938961145,,,,,0.464923627818326,0
ACADVL,,0.0605795180309039,0.214515804358863,0.151719519360544,,,0.966681834141769,0.304049526270028,0.519840101837364,,0
ACAN,-0.0984627803166713,,,,,0.9962090509916655,,,,,0
ACAT1,,0.146307598285052,0.157340798128779,0.372443525125499,,,0.727911535600536,0.411168373667926,0.0554775001784115,,0
ACAT2,,0.0276669999122108,-0.215504483589742,0.356807647607574,,,0.991510281820983,0.438656199336657,0.0748343509548292,,0
ACBD3,,,-0.00376446773910621,,,,,0.992642412277775,,,0
ACBD5,,,-0.0850917526559541,,0.0196688759954473,,,0.770050124148734,,0.957738595761816,0
ACBD7,,,-0.122638533946951,,-0.333008200161696,,,0.852611627433512,,0.682430398413084,0
ACBG1,,,,,0.279715053396483,,,,,0.0864546696113334,0
ACBP,,,,,0.302307038502113,,,,,0.300648810535863,0
ACDSB,,,,,0.142500036826681,,,,,0.411743883950081,0
ACE,0.0039606032433443,,,,,0.9962090509916655,,,,,0
ACHE,-0.175302610768901,,,,,0.785585851914268,,,,,0
ACIN1,,,-0.127947752533045,,,,,0.69150815975445,,,0
ACINU,,,,,0.113823577800897,,,,,0.884083683300205,0
ACL6B,,,,,0.0315940252933673,,,,,0.954126964171983,0
ACLY,,-0.277736936458683,-0.0289139404390263,0.272875636818413,-0.302274194820103,,0.576265869850925,0.895239553503929,0.402142316826032,0.00862489619923624,1
ACO1,,,-0.393267152396845,,,,,0.692410661075385,,,0
ACO13,,,,,-0.1124908744424,,,,,0.867590411347488,0
ACO2,,-0.0376804096863823,0.0209430099923373,0.31138784876709,,,0.974448078729125,0.925964311941189,0.262489872555772,,0
ACOC,,,,,-0.0895124208113395,,,,,0.88531799535722,0
ACON,,,,,0.0178664992827906,,,,,0.946117362299694,0
ACOT1,,,-0.0400966371068485,,0.0201151888882721,,,0.96335438542648,,0.971463783287766,0
ACOT13,,,0.0958756173589781,,,,,0.738318967972883,,,0
ACOT7,,-0.104829952632113,-0.1859014585699,0.351234011771249,,,0.830806153565755,0.421765785712596,0.120855304268092,,0
ACOT8,,-0.148898988673175,,-0.293363142541548,,,0.790469261040775,,0.553821076556881,,0
ACOT9,,,0.144686726891607,,-0.0793787098632689,,,0.485148693499727,,0.84238217581519,0
ACP2,0.0506650908080939,,,,,0.9962090509916655,,,,,0
ACPM,,,,,0.415602600183562,,,,,0.536013878476458,0
ACS2L,,,,,-0.098417767370314,,,,,0.906741236938562,0
ACSBG1,,,0.29009347243287,,,,,0.319984010829076,,,0
ACSF2,,-0.362525725990704,0.134327291477795,-0.530665291889495,0.238779835882369,,0.522987982143714,0.750005490374311,0.223551851143047,0.221385441807263,0
ACSF3,,0.23310147393806,-0.0650573789197438,-0.402030300977013,0.480370805566098,,0.531706827030225,0.85519345320291,,0.0925849980351161,0
ACSL1,,,-0.209032626246584,,-0.169409061146619,,,0.330489488771297,,0.502901488385713,0
ACSL3,,-0.0639623710385314,-0.0634914916273255,-0.387337671381005,-0.00437749048348002,,0.907888901356552,0.802555557438697,0.305920397075427,0.981305161186292,0
